Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
modMotorToolSilencer,item_modifier,Mod,New,Motor Silencer,,,,,
modChainsawTemperedFrame1,item_modifier,Mod,New,Chainsaw Tempered Frame Mk.I,,,,,
modChainsawTemperedFrame2,item_modifier,Mod,New,Chainsaw Tempered Frame Mk.II,,,,,
modChainsawTemperedFrame3,item_modifier,Mod,New,Chainsaw Tempered Frame Mk.III,,,,,
modEngineTurbo1Desc,item_modifier,Mod,New,"Increases speed of your Chainsaw and Auger by 10%",,,,,
modEngineTurbo2Desc,item_modifier,Mod,New,"Increases speed of your Chainsaw and Auger by 25%",,,,,
modEngineTurbo3Desc,item_modifier,Mod,New,"Increases speed of your Chainsaw and Auger by 50%",,,,,
modGasTank1Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 25%.\n\nStacks with the Reserved Gas Tanks",,,,,
modGasTank2Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 50%.\n\nStacks with the Reserved Gas Tanks",,,,,
modGasTank3Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 100%.\n\nStacks with the Reserved Gas Tanks",,,,,
modReserveGasTank1Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 25%.\n\nStacks with the Gas Tanks",,,,,
modReserveGasTank2Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 50%.\n\nStacks with the Gas Tanks",,,,,
modReserveGasTank3Desc,item_modifier,Mod,New,"Increases the size of your Gas Tank by 100%.\n\nStacks with the Gas Tanks",,,,,
modMotorToolExtension1Desc,item_modifier,Mod,New,"Increases the range of your Chainsaw and Auger by 10%",,,,,
modMotorToolExtension2Desc,item_modifier,Mod,New,"Increases the range of your Chainsaw and Auger by 25%",,,,,
modMotorToolExtension3Desc,item_modifier,Mod,New,"Increases the range of your Chainsaw and Auger by 50%",,,,,
modDiamondTip1Desc,item_modifier,Mod,New,"Increases block damage of your Auger by 10%.\n\nReduces damage to Wood by 100%",,,,,
modDiamondTip2Desc,item_modifier,Mod,New,"Increases block damage of your Auger by 25%.\n\nReduces damage to Wood by 100%",,,,,
modDiamondTip3Desc,item_modifier,Mod,New,"Increases block damage of your Auger by 50%.\n\nReduces damage to Wood by 100%",,,,,
modBetterHandlesDesc,item_modifier,Mod,New,"Reduces Kick from your Chainsaw and Auger by about 85%",,,,,
modMotorToolSilencerDesc,item_modifier,Mod,New,"You can now mine in Peace",,,,,
modChainsawTemperedFrame1Desc,item_modifier,Mod,New,"Increases Durability and reduces the Degradation per use by 25%",,,,,
modChainsawTemperedFrame2Desc,item_modifier,Mod,New,"Increases Durability and reduces the Degradation per use by 50%",,,,,
modChainsawTemperedFrame3Desc,item_modifier,Mod,New,"Increases Durability and reduces the Degradation per use by 75%",,,,,
toolQuickerFixerUpperSchematic,items,Schematic,New,Enhanced Nailgun Schematic,,,,,
toolQuickerFixerUpperSchematicDesc,items,Schematic,New,Use this to craft an enhanced nailgun.,,,,,
toolQuickerFixerUpper,item,Items,New,Enhanced Nail Gun,,,,,
toolQuickerFixerUpperDesc,item,Items,New,"Repair and upgrade with speed!",,,,,
