Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
plantedWheat3HarvestFM,blocks,Block,KgNone,"Wheat Crop",,,,,
plantedWheat3HarvestFMDesc,blocks,Block,KgNone,"Punch this to get Wheat grains.",,,,,
plantedWheat3HarvestPlayerFM,blocks,Block,KgNone,"Wheat Crop",,,,,
plantedWheat3HarvestPlayerFMDesc,blocks,Block,KgNone,"Punch this to get some Wheat grains. Increase your harvest by perking into Living Off The Land.",,,,,

cntGroceryBagFM,blocks,Block,KgNone,"Bag of Groceries",,,,,
cntGroceryBagPlaceableFM,blocks,Block,KgNone,"Bag of Groceries",,,,,
cntGroceryBagFMDesc,blocks,Block,KgNone,"A bag of groceries that is sure to contain some good food items. Place on the ground and open up to see what's inside!",,,,,
cntAquariumEmptyFM,blocks,Block,KgNone,"Empty Aquarium",,,,,
cntAquariumGrowingFM,blocks,Block,KgNone,"Aquarium",,,,,
cntAquariumHarvestableFM,blocks,Block,KgNone,"Aquarium (Ready)",,,,,
cntAquariumEmptyFMDesc,blocks,Block,KgNone,"An empty aquarium. Hold a fishing net and right click to empty a bag of fish from your inventory into the aquarium.",,,,,
cntBeehiveEmptyFM,blocks,Block,KgNone,"Empty Beehive",,,,,
cntBeehiveGrowingFM,blocks,Block,KgNone,"Beehive",,,,,
cntBeehiveGrowing2FM,blocks,Block,KgNone,"Beehive",,,,,
cntBeehiveGrowing3FM,blocks,Block,KgNone,"Beehive",,,,,
cntBeehiveHarvestableFM,blocks,Block,KgNone,"Beehive (Ready)",,,,,
cntBeehiveEmptyFMDesc,blocks,Block,"An empty beehive. Right click whilst holding beekeeping forceps to insert a queen bee from your inventory.",,,,,

drinkJarAloeJuiceFM,items,Food,KgNone,"Aloe Vera Juice",,,,,
drinkJarAloeJuiceFMDesc,items,Food,KgNone,"Aloe vera juice can be drunk if you are really short on fluid, but it is advisable to not drink too much...",,,,,
drinkJarAppleCiderFM,items,Food,KgNone,"Apple Cider",,,,,
drinkJarAppleCiderFMDesc,items,Food,KgNone,"Apple cider warms the belly and makes you feel a little stronger. Your melee attacks do more damage.",,,,
drinkJarAppleJuiceFM,items,Food,KgNone,"Apple Juice",,,,,
drinkJarAppleJuiceFMDesc,items,Food,KgNone,"Apple juice is great when you need to heat up your insides and can help you stay warm in cool weather.",,,,,
drinkJarBloodyMaryFM,items,Food,KgNone,"Bloody Mary",,,,,
drinkJarBloodyMaryFMDesc,items,Food,KgNone,"It tastes bloody awful, but helps you resist damage and slows blood flow, preventing bleed damage.",,,,,
drinkJarBlueberryJuiceFM,items,Food,KgNone,"Blueberry Juice",,,,,
drinkJarBlueberryJuiceFMDesc,items,Food,KgNone,"Blueberry juice is highly refreshing and can help you out in hot weather.",,,,,
drinkJarBlueberryWineFM,items,Food,KgNone,"Blueberry Wine",,,,,
drinkJarBlueberryWineFMDesc,items,Food,KgNone,"Blueberry wine can give you a speed boost.",,,,,
drinkJarPotatoJuiceFM,items,Food,KgNone,"Potato Juice",,,,,
drinkJarPotatoJuiceFMDesc,items,Food,KgNone,"Potato juice is not as tasty or hydrating as other beverages, but it is good for the innards.",,,,,
drinkJarTomatoJuiceFM,items,Food,KgNone,"Tomato Juice",,,,,
drinkJarTomatoJuiceFMDesc,items,Food,KgNone,"Tomato juice not only helps hydrate you, it also lessens the effects of physical damage for a while.",,,,,
drinkJarVegetableOilFM,items,Food,KgNone,"Vegetable Oil",,,,,
drinkJarVegetableOilFMDesc,items,Food,KgNone,"An oil used in cooking. You can drink it in an emergency but it's not good for you on its own...",,,,,
drinkCartonMilkFM,items,Food,KgNone,"Milk",,,,,
drinkCartonMilkFMDesc,items,Food,KgNone,"Milk is good for strong bones! Drinking some will give you a slight stamina regen boost over time.",,,,,
drinkCartonSoyaMilkFM,items,Food,KgNone,"Soya Milk",,,,,
drinkCartonSoyaMilkFMDesc,items,Food,KgNone,"Whilst not as quenching as regular milk, soya milk is good for your body and will give you a small health regen boost over time.",,,,,

foodCanBeefHotFM,items,Food,KgNone,"Large Beef Ration (Hot)",,,,,
foodCanBeefHotFMDesc,items,Food,KgNone,"Re-heating this beef ration is a great way to remove any risk of food poisoning, and it can help keep you warmer in a cold environment too!",,,,,
foodCanChickenHotFM,items,Food,KgNone,"Chicken Ration (Hot)",,,,,
foodCanChickenHotFMDesc,items,Food,KgNone,"Chicken tastes so much cluckin' better when it's heated up, and gives you resistance to cold environments too!",,,,,
foodCanLambHotFM,items,Food,KgNone,"Lamb Rations (Hot)",,,,,
foodCanLambHotFMDesc,items,Food,KgNone,"Cold lamb is baaaaaaad! Heat it up to remove any chance of food poisoning and give yourself some resistance to cold environments.",,,,,
foodCanChiliHotFM,items,Food,KgNone,"Can of Chili (Hot)",,,,,
foodCanChiliHotFMDesc,items,Food,KgNone,"Guaranteed to increase your farting firepower. A warm arse means a warm body in a cold environment, right?",,,,,
foodCanTunaHotFM,items,Food,KgNone,"Can of Tuna (Hot)",,,,,
foodCanTunaHotFMDesc,items,Food,KgNone,"Tastes like shit when heated up, but at least you know it's safe now. Gives you some resistance to the cold too!",,,,,
foodCanHamHotFM,items,Food,KgNone,"Can of Sham (Hot)",,,,,
foodCanHamHotFMDesc,items,Food,KgNone,"Was this what they put in sham sandwiches? Tastes pretty good when it's not half rotted! Gives you extra resistance to cold environments too.",,,,,
foodCanPastaHotFM,items,Food,KgNone,"Can of Pasta (Hot)",,,,,
foodCanPastaHotFMDesc,items,Food,KgNone,"Hot pasta tastes great and gives you some much needed heat in cold weather.",,,,,
foodCanSalmonHotFM,items,Food,KgNone,"Can of Salmon (Hot)",,,,,
foodCanSalmonHotFMDesc,items,Food,KgNone,"Something is very fishy about this, but it will help you survive cold weather.",,,,,
foodCanMisoHotFM,items,Food,KgNone,"Can of Miso (Hot)",,,,,
foodCanMisoHotFMDesc,items,Food,KgNone,"Deliciously good, and a nice way to stay warm when the snow comes in.",,,,,
foodCanPeasHotFM,items,Food,KgNone,"Can of Peas (Hot)",,,,,
foodCanPeasHotFMDesc,items,Food,KgNone,"Who wants to eat cold peas? Nobody! Hot peas are great and help you survive the coldest weather.",,,,,
foodCanSoupHotFM,items,Food,KgNone,"Can of Soup (Hot)",,,,,
foodCanSoupHotFMDesc,items,Food,KgNone,"Nothing gets rid of cold faster than a hot soup.",,,,,
foodCanStockHotFM,items,Food,KgNone,"Can of Stock (Hot)",,,,,
foodCanStockHotFMDesc,items,Food,KgNone,"No food poisoning? Check! Resistance to cold weather? Check! We have a winner!",,,,,

foodAnchovyPizzaFM,items,Food,KgNone,"Anchovy Pizza",,,,,
foodAnchovyPizzaFMDesc,items,Food,KgNone,"Anchovies on a pizza may seem like blasphemy, but it is highly nutritious even if a little salty.",,,,,
foodApplePieFM,items,Food,KgNone,"Apple Pie",,,,,
foodApplePieFMDesc,items,Food,KgNone,"This one is the apple of my pie - I mean eye...",,,,,
foodBatteredFishFM,items,Food,KgNone,"Battered Fish",,,,,
foodBatteredFishFMDesc,items,Food,KgNone,"Made with the finest beer batter. Tastes great too!",,,,,
foodBeefStewFM,items,Food,KgNone,"Beef Stew",,,,,
foodBeefStewFMDesc,items,Food,KgNone,"Beefy and stewy, this is going to taste awesome!",,,,,
foodBlueberryCakeFM,items,Food,KgNone,"Blueberry Cake",,,,,
foodBlueberryCakeFMDesc,items,Food,KgNone,"This cake is as blue and marvellous as the berries that were used to create it.",,,,,
foodBoiledPotatoFM,items,Food,KgNone,"Boiled Potato",,,,,
foodBoiledPotatoFMDesc,items,Food,KgNone,"Like a baked potato, but boiled instead and helps restore a little bit of hydration.",,,,,
foodBreadFM,items,Food,KgNone,"Bread",,,,,
foodBreadFMDesc,items,Food,KgNone,"Bread can be eaten on its own or sliced to make sandwiches, burgers, and more.",,,,,
foodBreadSliceFM,items,Food,KgNone,"Slice of Bread",,,,,
foodBreadSliceFMDesc,items,Food,KgNone,"Sliced bread can be used to make sandwiches, toast, and more.",,,,,
foodBritishBreakfastFM,items,Food,KgNone,"British Breakfast",,,,,
foodBritishBreakfastFMDesc,items,Food,KgNone,"This will be sure to fill you up with much needed nutrients to stay healthy.",,,,,
foodButterFM,items,Food,KgNone,"Butter",,,,,
foodButterFMDesc,items,Food,KgNone,"Butter is used in recipes for cakes and sandwiches. Or just eat it as is if you're desperate.",,,,,
foodBurgerBunFM,items,Food,KgNone,"Burger Bun",,,,,
foodBurgerBunFMDesc,items,Food,KgNone,"Burger buns are the essential ingredient to tie a burger together!",,,,,
foodCakeMixtureFM,items,Food,KgNone,"Cake Mixture",,,,,
foodCakeMixtureFMDesc,items,Food,KgNone,"Cake mixture is used as a core ingredient when making cakes. You can eat it but the raw eggs may cause stomach cramps...",,,,,
foodCanAnchoviesFM,items,Food,KgNone,"Can of Anchovies",,,,,
foodCanAnchoviesFMDesc,items,Food,KgNone,"You can eat these raw or use them in other recipes. Goes great on pizza.",,,,,
foodCheeseFM,items,Food,KgNone,"Cheese",,,,,
foodCheeseFMDesc,items,Food,KgNone,"Cheese is cheesy and tastes good. Well, at least most of us agree, the zombies like brains better though so don't try sharing your cheese wedge with them...",,,,,
foodCheeseDoughballsFM,items,Food,KgNone,"Cheese Doughballs",,,,,
foodCheeseDoughballsFMDesc,items,Food,KgNone,"These are great to eat and surprisingly filling. Good for snacking on.",,,,,
foodCheesePizzaFM,items,Food,KgNone,"Cheese Pizza",,,,,
foodCheesePizzaFMDesc,items,Food,KgNone,"A basic pizza that tastes delicious.",,,,,
foodCheeseSandwichFM,items,Food,KgNone,"Cheese Sandwich",,,,,
foodCheeseSandwichFMDesc,items,Food,KgNone,"Can't be bothered to grill the cheese? Well just stuff it between two slices of bread and call it a day!",,,,,
foodChickenCheeseburgerFM,items,Food,KgNone,"Chicken Cheeseburger",,,,,
foodChickenCheeseburgerFMDesc,items,Food,KgNone,"A great all-round burger to eat, guaranteed to fill a starving survivor.",,,,,
foodChickenMushroomPastaFM,items,Food,KgNone,"Chicken and Mushroom Pasta",,,,,
foodChickenMushroomPastaFMDesc,items,Food,KgNone,"Need to focus your reflexes? This ought to do the trick.",,,,,
foodChickenMushroomSoupFM,items,Food,KgNone,"Chicken and Mushroom Soup",,,,,
foodChickenMushroomSoupFMDesc,items,Food,KgNone,"There's not mush-room inside this bowl but it tastes cluckin' delicious.",,,,,
foodChickenPieFM,items,Food,KgNone,"Chicken Pie",,,,,
foodChickenPieFMDesc,items,Food,KgNone,"Although this tastes awesome, some people say it leaves a fowl after-taste...",,,,,
foodChickenSandwichFM,items,Food,KgNone,"Chicken Sandwich",,,,,
foodChickenSandwichFMDesc,items,Food,KgNone,"Chicken + Bread = Rooster Booster!",,,,,
foodChickenStewFM,items,Food,KgNone,"Chicken Stew",,,,,
foodChickenStewFMDesc,items,Food,KgNone,"Cluckin' hell, who knew this would taste so good?",,,,,
foodChickenSweetcornSoupFM,items,Food,KgNone,"Chicken and Sweetcorn Soup",,,,,
foodChickenSweetcornSoupFMDesc,items,Food,KgNone,"A tasty soup that can help you stay warm in colder feather (AHEM) I mean, weather.",,,,,
foodChocolateFM,items,Food,KgNone,"Chocolate",,,,,
foodChocolateFMDesc,items,Food,KgNone,"A piece of chocolate - a very tasty, delicious piece of chocolate...",,,,,
foodChocolateCakeFM,items,Food,KgNone,"Chocolate Cake",,,,,
foodChocolateCakeFMDesc,items,Food,KgNone,"Being able to bake a chocolate cake whilst surviving wave after wave of hungry zombies is definitely a feat most survivors can't boast about.",,,,,
foodCookedFishFM,items,Food,KgNone,"Cooked Fish",,,,,
foodCookedFishFMDesc,items,Food,KgNone,"A cooked fish provides a little more nutrition than eating it fresh.",,,,,
foodCookedSalmonFM,items,Food,KgNone,"Cooked Salmon",,,,,
foodCookedSalmonFMDesc,items,Food,KgNone,"Not only does this taste great, it will help you heal up a little faster too.",,,,,
foodCropAppleFM,items,Food,KgNone,"Apple",,,,,
foodCropAppleFMDesc,items,Food,KgNone,"An apple a day keeps the zombie nurse away... Well that's what we hope, anyway.",,,,,
foodCropPearFM,items,Food,KgNone,"Pear",,,,,
foodCropPearFMDesc,items,Food,KgNone,"Pears are a good emergency food source but they can be used in other recipes.",,,,,
foodCropSoybeanFM,items,Food,KgNone,"Soybean",,,,,
foodCropSoybeanFMDesc,items,Food,KgNone,"Soybeans can be eaten raw but they may have a small chance of giving you food poisoning.",,,,,
foodCropTomatoFM,items,Food,KgNone,"Tomato",,,,,
foodCropTomatoFMDesc,items,Food,KgNone,"Tomatoes can be eaten raw or used as part of better recipes. Pizzas, pasta dishes and breakfast meals are all great uses for tomatoes.",,,,,
foodCropWheatFM,items,Food,KgNone,"Wheat",,,,,
foodCropWheatFMDesc,items,Food,KgNone,"Wheat can be eaten on its own but it will dehydrate you some. Good emergency food if you have nothing left.",,,,,
foodDoggyDooFM,items,Food,KgNone,"Doggy Doo",,,,,
foodDoggyDooFMDesc,items,Food,KgNone,"Dog food, plus... other stuff... makes... Something tasty, I hope...",,,,,
foodDoughFM,items,Food,KgNone,"Dough",,,,,
foodDoughFMDesc,items,Food,KgNone,"Dough is used in bread and piemaking. It can be eaten as is, but it will taste rather bland...",,,,,
foodEggSandwichFM,items,Food,KgNone,"Egg Sandwich",,,,,
foodEggSandwichFMDesc,items,Food,KgNone,"Whilst not the most egg-citing way to use eggs, the taste is most egg-cellent!",,,,,
foodFishAndChipsFM,items,Food,KgNone,"Fish and Chips",,,,,
foodFishAndChipsFMDesc,items,Food,KgNone,"A British staple, simple yet glorious.",,,,,
foodFlourFM,items,Food,KgNone,"Flour",,,,,
foodFlourFMDesc,items,Food,KgNone,"Flour is used as a component in breads and pies. It's great at drying your mouth out, too.",,,,,
foodFreshAnchovyFM,items,Food,KgNone,"Fresh Anchovy",,,,,
foodFreshAnchovyFMDesc,items,Food,KgNone,"You can eat these raw or use them in recipes. Goes great on a pizza.",,,,,
foodFreshFishFM,items,Food,KgNone,"Fresh Fish",,,,,
foodFreshFishFMDesc,items,Food,KgNone,"A fresh fish. Can be eaten raw, or cooked with other ingredients for a more nutritious meal.",,,,,
foodFreshSalmonFM,items,Food,KgNone,"Fresh Salmon",,,,,
foodFreshSalmonFMDesc,items,Food,KgNone,"This makes a great meal to eat even from raw. But it's much better to cook it up, or smoke it for best results.",,,,,
foodFriesFM,items,Food,KgNone,"Fries",,,,,
foodFriesFMDesc,items,Food,KgNone,"You never thought you'd see the day when fast food would be available in the apocalypse, but here stands the fries, ready to be eaten.",,,,,
foodGelatinFM,items,Food,KgNone,"Jar of Raw Gelatin",,,,,
foodGelatinFMDesc,items,Food,KgNone,"Gooey but tasteless. Can be used to make jelly and gummy candies when mixed with fruit and other items.",,,,,
foodGrilledCheeseFM,items,Food,KgNone,"Grilled Cheese",,,,,
foodGrilledCheeseFMDesc,items,Food,KgNone,"Grilled cheese is simple to make and tasty too! Just don't grill your nuts along with it.",,,,,
foodGroundHerbsFM,items,Food,KgNone,"Ground Herbs",,,,,
foodGroundHerbsFMDesc,items,Food,KgNone,"Ground herbs can be used for seasonings in some recipes.",,,,,
foodGummyBearsBlueFM,items,Food,KgNone,"Gummy Bears (Blue)",,,,,
foodGummyBearsBlueFMDesc,items,Food,KgNone,"A sweet treat that tastes like blueberry.",,,,,
foodGummyBearsBlackFM,items,Food,KgNone,"Gummy Bears (Black)",,,,,
foodGummyBearsBlackFMDesc,items,Food,KgNone,"A sweet treat that tastes like pear.",,,,,
foodGummyBearsRedFM,items,Food,KgNone,"Gummy Bears (Red)",,,,,
foodGummyBearsRedFMDesc,items,Food,KgNone,"A sweet treat that tastes like apple.",,,,,
foodHogRoastBurgerFM,items,Food,KgNone,"Hog Roast Burger",,,,,
foodHogRoastBurgerFMDesc,items,Food,KgNone,"This burger has been awarded the Fox seal of approval.",,,,,
foodHoneyChickenKabobsFM,items,Food,KgNone,"Honey Chicken Kabobs",,,,,
foodHoneyChickenKabobsFMDesc,items,Food,KgNone,"This chicken has 'the stick'...",,,,,
foodHoneyYuccaPieFM,items,Food,KgNone,"Honey Yucca Pie",,,,,
foodHoneyYuccaPieFMDesc,items,Food,KgNone,"Combining these two sweet things into a pastry seems great and all. Just don't overload on the sugar.",,,,,
foodHunterStewFM,items,Food,KgNone,"Hunter's Stew",,,,,
foodHunterStewFMDesc,items,Food,KgNone,"A great meal to take after a good hunt. You may want to save some for the next hunt, though...",,,,,
foodKittyCasseroleFM,items,Food,KgNone,"Kitty Casserole",,,,,
foodKittyCasseroleFMDesc,items,Food,KgNone,"Well, what could a can of cat food do when mixed with some other stuff? Let's find out right meow!",,,,,
foodLambStewFM,items,Food,KgNone,"Lamb Stew",,,,,
foodLambStewFMDesc,items,Food,KgNone,"This really is not baaaad!",,,,,
foodMacaroniCheeseFM,items,Food,KgNone,"Macaroni Cheese",,,,,
foodMacaroniCheeseFMDesc,items,Food,KgNone,"How could you resist the delight of mac and cheese? Looks great, time to dig in.",,,,,
foodMushroomSoupFM,items,Food,KgNone,"Mushroom Soup",,,,,
foodMushroomSoupFMDesc,items,Food,KgNone,"Your muscles need so mush-room to expand, so try this soup and let your arms do the rest!",,,,,
foodPastaShamFM,items,Food,KgNone,"Pasta Sham",,,,,
foodPastaShamFMDesc,items,Food,KgNone,"Who knew mixing pasta with the worst spam clone in existence would actually taste good? May drive you a bit berserk though.",,,,,
foodPeaHamSoupFM,items,Food,KgNone,"Pea and Ham Soup",,,,,
foodPeaHamSoupFMDesc,items,Food,KgNone,"This would go great with some crusty bread...",,,,,
foodPotatoPastaSaladFM,items,Food,KgNone,"Potato Pasta Salad",,,,,
foodPotatoPastaSaladFMDesc,items,Food,KgNone,"This is a refreshing salad which will help you stay cooler when the weather turns harsh.",,,,,
foodRottingFleshCharredFM,items,Food,KgNone,"Charred Flesh",,,,,
foodRottingFleshCharredFMDesc,items,Food,KgNone,"Charring that rotting flesh will lower the chance of getting nasty side-effects, but beware as it may cause severe stomach cramps.",,,,,
foodScrambledEggsFM,items,Food,KgNone,"Scrambled Eggs",,,,,
foodScrambledEggsFMDesc,items,Food,KgNone,"Only for the most egg-centric among you...",,,,,
foodShamSandwichCharredFM,items,Food,KgNone,"Charred Sham Sandwich",,,,,
foodShamSandwichCharredFMDesc,items,Food,KgNone,"Cooking a sham sandwich for a while lowers the chance of food poisoning, however it also dries out the bread and meat and will dehydrate you some. Be wary not to eat too many of these.",,,,
foodShepherdsPieFM,items,Food,KgNone,"Shepherd's Pie",,,,,
foodShepherdsPieFMDesc,items,Food,KgNone,"A very filling pie that is guaranteed to leave you full for a while.",,,,,
foodSmokedSalmonFM,items,Food,KgNone,"Smoked Salmon",,,,,
foodSmokedSalmonFMDesc,items,Food,KgNone,"Smoked salmon is extremely nutritious. How it fills you up so much is a bit of a fishy topic, though...",,,,,
foodSnakeSoupFM,items,Food,KgNone,"Snake Soup",,,,,
foodSnakeSoupFMDesc,items,Food,KgNone,"You and I both know that the soup is a lube in disguise to make that python slide down your throat easier, don't even try to hide it... Good for detoxifying your insides too.",,,,,
foodSnakeStripsFM,items,Food,KgNone,"Snake Strips",,,,,
foodSnakeStripsFMDesc,items,Food,KgNone,"These look like fish sticks. But that's where the similarity ends...",,,,,
foodSpaghettiVenisonMeatballsFM,items,Food,KgNone,"Sphaghetti and Venison Meatballs",,,,,
foodSpaghettiVenisonMeatballsFMDesc,items,Food,KgNone,"Whilst you could use regular ground beef for meatballs, venison tastes so much better for some reason. Must be the antlers...",,,,,
foodSpicyHashFM,items,Food,KgNone,"Spicy Hash",,,,,
foodSpicyHashFMDesc,items,Food,KgNone,"So you thought cans of chilli made you fart? Well, try this and prepare to be blown away.",,,,,
foodSummerFruitSaladFM,items,Food,KgNone,"Summer Fruit Salad",,,,,
foodSummerFruitSaladFMDesc,items,Food,KgNone,"A great fruit salad made from fruit found in warmer areas.",,,,,
foodToastFM,items,Food,KgNone,"Toast",,,,,
foodToastFMDesc,items,Food,KgNone,"Toast is simple and easy to make. You could eat this with some bacon and eggs...",,,,,
foodTortillaFM,items,Food,KgNone,"Tortilla",,,,,
foodTortillaFMDesc,items,Food,KgNone,"Tortillas can be used in tacos and other things.",,,,,
foodVenisonFeastPizzaFM,items,Food,KgNone,"Venison Feast Pizza",,,,,
foodVenisonFeastPizzaFMDesc,items,Food,KgNone,"This does taste a bit gamey, but hey it's actually really healthy and can fill you up immensely.",,,,,
foodVenisonWellingtonFM,items,Food,KgNone,"Venison Wellington",,,,,
foodVenisonWellingtonFMDesc,items,Food,KgNone,"What happens when you dress a stag in pastry? Well, this. It looks weird, but you'll enjoy the taste.",,,,,
foodVegetableSoupFM,items,Food,KgNone,"Vegetable Soup",,,,,
foodVegetableSoupFMDesc,items,Food,KgNone,"Vegetable soup is good for your insides! And your aim with ranged weapons will be a little better for a while too!",,,,,
foodWinterFruitSaladFM,items,Food,KgNone,"Winter Fruit Salad",,,,,
foodWinterFruitSaladFMDesc,items,Food,KgNone,"A refreshing fruit salad is just the thing to cool you off when temperatures get too hot.",,,,,
foodWolfiesMeatloafFM,items,Food,KgNone,"Wolfie's Meatloaf",,,,,
foodWolfiesMeatloafFMDesc,items,Food,KgNone,"A legendary recipe only known to a select few individuals. Tastes awesome and helps with healing all wounds.",,,,,
foodYoghurtFM,items,Food,KgNone,"Plain Yoghurt",,,,,
foodYoghurtFMDesc,items,Food,KgNone,"Yoghurt is great for giving your guts a good cleaning. Consume moderately though, else you may find an unexpected brown bear in your pants.",,,,,
foodYoghurtBlueberryFM,items,Food,KgNone,"Blueberry Yoghurt",,,,,
foodYoghurtBlueberryFMDesc,items,Food,KgNone,"Blueberry yoghurt tastes much better than plain old yoghurt and is a great way to cool off on a hot day.",,,,,
foodYoghurtMixedFruitFM,items,Food,KgNone,"Mixed Fruit Yoghurt",,,,,
foodYoghurtMixedFruitFMDesc,items,Food,KgNone,"Combining many different fruits into one yoghurt is a great way to make something tasty without the need for lots of cooking equipment. Huzzah!",,,,,
foodYoghurtYuccaFM,items,Food,KgNone,"Yucca Yoghurt",,,,,
foodYoghurtYuccaFMDesc,items,Food,KgNone,"Your tastebuds celebrate whilst your innards may cower in fear at the sight of this yoghurt. Just kidding, it's totally harmless.",,,,,

resourceCartonEmptyFM,items,Food,KgNone,"Empty Carton",,,,,
resourceCartonEmptyFMDesc,items,Food,KgNone,"An empty carton. You can use this to store yoghurts and other foods or drinks.",,,,,
resourceTinFoilFM,items,Food,KgNone,"Tin Foil",,,,,
resourceTinFoilFMDesc,items,Food,KgNone,"Tin foil is used for cooking breads and other things.",,,,,
resourceRockSaltFM,items,Food,KgNone,"Rock Salt",,,,,
resourceRockSaltFMDesc,items,Food,KgNone,"Rock salt can be refined into normal salt on a chemistry station. You can use this to craft some food items.",,,,,
resourceSaltFM,items,Food,KgNone,"Salt",,,,,
resourceSaltFMDesc,items,Food,KgNone,"Salt can be used in some food recipes as a flavouring or as a preservative.",,,,,
resourceBagFishFM,items,Food,KgNone,"Bag of Live Fish",,,,,
resourceBagFishFMDesc,items,Food,KgNone,"A bag of live fish that you can place in an aquarium to produce more fish. You will need a fishing net to do this.",,,,,
resourceQueenBeeFM,items,Food,KgNone,"Queen Bee",,,,,
resourceQueenBeeFMDesc,items,Food,KgNone,"Queen bees can be placed into a beehive using beekeeping forceps to produce workers and honey.",,,,,
resourceWorkerBeeFM,items,Food,KgNone,"Worker Bee",,,,,
resourceWorkerBeeFMDesc,items,Food,KgNone,"Worker bees can be inserted into beehives using beekeeping forceps. Adding 10 worker bees into a hive will speed up the honey making process. Adding 20 will make the production even faster.",,,,,
resourceRawHoneycombFM,items,Food,KgNone,"Raw Honeycomb",,,,,
resourceRawHoneycombFMDesc,items,Food,KgNone,"Raw honeycombs can be squeezed out to extract the honey. You can do this by hand but you will get more using workstations.",,,,,
resourceFishFoodFM,items,Food,KgNone,"Fish Food",,,,,
resourceFishFoodFMDesc,items,Food,KgNone,"Fish food can be inserted into aquariums using a fishing net. Adding 2 fish food into an aquarium will speed up the rate of offspring production. Adding 4 will increase production even more.",,,,,

toolFishingNetFM,items,Food,KgNone,"Fishing Net",,,,,
toolFishingNetFMDesc,items,Food,KgNone,"Use this on an empty aquarium to fill it with a bag of fish from your inventory.",,,,,
toolBeekeepingForcepsFM,items,Food,KgNone,"Beekeeping Forceps",,,,,
toolBeekeepingForcepsFMDesc,items,Food,KgNone,"Beekeeping forceps are used to insert queen bees into beehives.",,,,,

buffAppleCiderFMName,buffs,Buff,New,"Apple Powah!",,,,,
buffAppleCiderFMDesc,buffs,Buff,New,"Your melee attacks do more damage and you have a slight resistance to colder environments.",,,,,
